		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100010000  252  261  225  261  244  237  233  228  7.642384 0.469159 SUCCESS  75
100100000  262  237  246  262  231  271  267  239  6.973422 0.539503 SUCCESS  76
100101000  252  249  260  250  242  258  237  269  3.159022 0.923985 SUCCESS  77
100110000  235  229  268  237  236  249  236  262  7.010788 0.535469 SUCCESS  78
100111000  243  242  246  257  269  236  242  248  3.320121 0.912693 SUCCESS  79
101000000  252  230  255  267  252  246  253  241  3.425236 0.904914 SUCCESS  80
101000100  262  246  234  231  263  251  248  232  5.270893 0.728269 SUCCESS  81
101001000  268  237  236  235  261  245  269  245  5.982133 0.649233 SUCCESS  82
101001100  239  237  266  241  243  238  244  251  3.540436 0.896029 SUCCESS  83
101010000  277  244  233  263  241  234  281  245 10.536089 0.229395 SUCCESS  84
101010100  257  291  244  247  272  252  271  230 12.850691 0.117091 SUCCESS  85
101011000  249  264  238  218  263  230  237  268 10.037147 0.262428 SUCCESS  86
101011100  254  238  235  249  233  260  254  251  3.273446 0.916044 SUCCESS  87
101100000  246  250  248  241  254  275  264  275  6.473576 0.594340 SUCCESS  88
101100100  245  278  227  264  242  263  228  228 11.312493 0.184614 SUCCESS  89
101101000  234  267  265  252  236  267  230  281 10.844065 0.210692 SUCCESS  90
101101100  258  244  258  255  259  268  257  233  3.860178 0.869513 SUCCESS  91
101110000  247  253  256  264  241  264  256  238  2.927588 0.938819 SUCCESS  92
101110100  279  263  231  235  275  262  233  237 11.681754 0.165978 SUCCESS  93
101111000  256  252  228  249  230  230  261  280  9.704477 0.286383 SUCCESS  94
101111100  218  272  295  226  267  248  262  278 22.060743 0.004805 FAILURE  95
110000000  226  228  249  262  252  254  269  259  6.896881 0.547798 SUCCESS  96
110000010  273  249  238  230  251  265  240  265  6.724663 0.566610 SUCCESS  97
110000100  236  238  243  246  228  252  220  241  7.741034 0.459167 SUCCESS  98
110001000  214  261  223  266  246  218  230  236 16.693018 0.033469 SUCCESS  99
110001010  236  226  253  244  238  242  251  228  6.236840 0.620721 SUCCESS 100
110010000  254  251  236  278  241  263  237  245  5.962610 0.651420 SUCCESS 101
110010010  237  253  246  274  245  248  265  238  4.833236 0.775242 SUCCESS 102
110010100  251  267  273  265  239  273  245  255  7.224380 0.512629 SUCCESS 103
110011000  217  239  249  249  225  255  247  272  9.737446 0.283939 SUCCESS 104
110011010  266  223  280  266  271  236  242  246 11.828501 0.159021 SUCCESS 105
110100000  248  245  255  266  227  255  279  247  7.094311 0.526492 SUCCESS 106
110100010  268  239  272  254  237  257  267  263  6.714061 0.567774 SUCCESS 107
110100100  250  255  248  249  246  244  243  251  0.544331 0.999816 SUCCESS 108
110101000  288  243  234  246  228  242  250  261 10.069341 0.260193 SUCCESS 109
110101010  268  278  242  268  266  244  267  238  9.198295 0.325845 SUCCESS 110
110101100  253  255  230  245  251  237  237  256  3.445923 0.903346 SUCCESS 111
110110000  246  233  242  237  256  299  249  266 13.375620 0.099563 SUCCESS 112
110110010  266  241  249  252  274  262  223  242  7.676000 0.465742 SUCCESS 113
110110100  225  253  248  244  255  268  227  265  7.350182 0.499364 SUCCESS 114
110111000  260  261  267  241  243  244  263  233  4.693341 0.789793 SUCCESS 115
110111010  268  263  223  228  255  237  259  248  8.210238 0.413208 SUCCESS 116
110111100  251  246  249  259  229  242  244  261  3.146093 0.924857 SUCCESS 117
111000000  232  239  266  283  262  258  265  259  9.540792 0.298746 SUCCESS 118
111000010  249  252  256  240  245  263  250  246  1.452356 0.993471 SUCCESS 119
111000100  232  263  244  245  290  242  236  261 10.489931 0.232308 SUCCESS 120
111000110  247  256  244  245  260  259  286  282 10.796356 0.213507 SUCCESS 121
111001000  253  238  234  270  235  296  271  266 15.924630 0.043472 SUCCESS 122
111001010  244  272  279  265  229  257  251  261  9.101455 0.333810 SUCCESS 123
111001100  225  241  256  252  233  259  247  295 13.033770 0.110693 SUCCESS 124
111010000  247  240  244  237  261  243  269  257  3.698562 0.883245 SUCCESS 125
111010010  281  251  222  237  244  233  248  244  9.428048 0.307482 SUCCESS 126
111010100  286  239  247  245  254  264  281  285 15.937818 0.043279 SUCCESS 127
111010110  251  277  244  220  247  216  240  251 12.123806 0.145765 SUCCESS 128
111011000  246  250  225  236  246  280  230  250  8.902990 0.350546 SUCCESS 129
111011010  246  245  255  269  245  258  215  261  7.703022 0.463004 SUCCESS 130
111011100  263  254  274  254  268  271  247  211 12.715451 0.122022 SUCCESS 131
111100000  239  232  240  262  255  241  277  255  6.408929 0.601526 SUCCESS 132
111100010  224  257  240  244  272  233  260  248  7.187919 0.516500 SUCCESS 133
111100100  242  233  239  263  259  262  247  248  3.644129 0.887721 SUCCESS 134
111100110  257  240  262  259  235  241  229  276  7.434739 0.490534 SUCCESS 135
111101000  255  227  256  269  245  250  269  270  7.191927 0.516074 SUCCESS 136
111101010  283  241  261  282  245  266  289  276 19.848929 0.010923 SUCCESS 137
111101100  269  255  235  258  234  260  241  229  6.422893 0.599972 SUCCESS 138
111101110  262  258  254  252  275  274  245  217 10.526133 0.230021 SUCCESS 139
111110000  232  245  261  234  265  251  261  239  4.938481 0.764131 SUCCESS 140
111110010  249  273  281  257  244  252  233  247  7.774651 0.455787 SUCCESS 141
111110100  261  250  260  241  252  236  259  267  3.611160 0.890393 SUCCESS 142
111110110  260  253  254  247  259  278  238  240  5.146513 0.741808 SUCCESS 143
111111000  239  254  218  243  256  266  239  238  7.304671 0.504146 SUCCESS 144
111111010  273  249  270  267  237  230  267  263  9.299790 0.317641 SUCCESS 145
111111100  242  267  248  268  238  278  219  231 12.125487 0.145692 SUCCESS 146
111111110  255  259  248  273  255  271  250  232  5.917875 0.656431 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
