		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010011011  241  262  248  278  273  252  261  250  6.905414 0.546871 SUCCESS  58
010011111  230  233  258  258  271  263  243  238  6.701778 0.569124 SUCCESS  59
010100011  238  241  260  258  241  268  271  232  6.451337 0.596810 SUCCESS  60
010100111  266  253  239  239  253  256  248  268  3.643741 0.887752 SUCCESS  61
010101011  260  229  252  237  244  242  254  271  5.257188 0.729767 SUCCESS  62
010101111  262  225  236  233  251  230  253  247  6.913689 0.545973 SUCCESS  63
010110011  246  262  267  251  263  208  255  272 11.968396 0.152620 SUCCESS  64
010110111  257  253  231  247  255  233  265  197 15.614715 0.048239 SUCCESS  65
010111011  260  244  232  263  244  257  261  277  6.475774 0.594096 SUCCESS  66
010111111  241  266  251  238  255  243  211  243  8.789341 0.360377 SUCCESS  67
011000111  247  237  249  257  285  264  262  278 10.672234 0.220971 SUCCESS  68
011001111  226  260  248  265  253  241  239  277  7.634626 0.469949 SUCCESS  69
011010111  247  240  226  212  234  238  248  234 11.523499 0.173764 SUCCESS  70
011011111  238  255  226  271  253  255  249  221  8.527135 0.383740 SUCCESS  71
011101111  258  212  237  285  243  250  246  268 13.615976 0.092340 SUCCESS  72
011111111  245  259  239  236  259  260  243  252  2.717358 0.950825 SUCCESS  73
100000000  218  258  256  256  262  219  244  230 11.167685 0.192378 SUCCESS  74
100010000  260  264  272  245  229  225  233  253  8.971515 0.344705 SUCCESS  75
100100000  256  251  232  260  270  262  244  246  4.375927 0.821714 SUCCESS  76
100101000  223  250  228  280  216  253  263  225 16.839378 0.031826 SUCCESS  77
100110000  259  294  245  253  261  253  227  227 13.403418 0.098703 SUCCESS  78
100111000  274  242  251  233  252  235  258  285 10.132178 0.255871 SUCCESS  79
101000000  227  247  271  249  227  246  235  252  7.251014 0.509808 SUCCESS  80
101000100  258  270  243  244  246  245  260  235  3.785834 0.875911 SUCCESS  81
101001000  243  249  285  226  270  266  259  237 11.411273 0.179467 SUCCESS  82
101001100  265  250  254  294  276  257  245  217 16.623200 0.034281 SUCCESS  83
101010000  253  243  246  250  250  258  224  254  3.431184 0.904464 SUCCESS  84
101010100  280  257  239  256  278  253  272  266 10.931596 0.205605 SUCCESS  85
101011000  265  235  251  256  267  244  252  258  3.644517 0.887689 SUCCESS  86
101011100  214  227  246  234  249  221  251  239 12.649123 0.124506 SUCCESS  87
101100000  248  275  256  249  244  259  251  261  3.749891 0.878955 SUCCESS  88
101100100  268  281  249  250  249  237  279  249  9.515709 0.300674 SUCCESS  89
101101000  255  256  262  245  234  249  225  259  4.933956 0.764611 SUCCESS  90
101101100  246  254  244  253  238  245  250  256  1.164937 0.996976 SUCCESS  91
101110000  226  220  239  238  224  262  237  266 12.342828 0.136551 SUCCESS  92
101110100  262  244  265  233  260  252  272  240  5.721479 0.678398 SUCCESS  93
101111000  282  266  247  249  247  243  244  241  6.063717 0.640095 SUCCESS  94
101111100  264  242  260  256  227  248  246  266  4.970158 0.760761 SUCCESS  95
110000000  254  274  268  224  268  224  263  256 11.576251 0.171135 SUCCESS  96
110000010  242  256  230  210  232  257  237  232 12.258012 0.140058 SUCCESS  97
110000100  270  260  265  256  262  264  248  255  4.685584 0.790592 SUCCESS  98
110001000  229  275  267  232  241  235  229  256 10.181568 0.252513 SUCCESS  99
110001010  270  232  249  243  243  260  229  259  5.976574 0.649856 SUCCESS 100
110010000  271  256  242  270  264  246  242  262  5.637826 0.687727 SUCCESS 101
110010010  253  274  246  260  247  247  270  241  4.969770 0.760802 SUCCESS 102
110010100  216  265  222  271  237  265  271  215 19.300081 0.013335 SUCCESS 103
110011000  266  255  230  247  244  258  251  238  3.867030 0.868917 SUCCESS 104
110011010  243  254  254  242  261  252  243  253  1.357325 0.994831 SUCCESS 105
110100000  232  257  270  256  220  254  238  261  8.231830 0.411158 SUCCESS 106
110100010  245  243  250  243  255  247  243  240  1.261648 0.995995 SUCCESS 107
110100100  284  229  269  245  261  277  272  224 16.528428 0.035412 SUCCESS 108
110101000  252  269  235  228  253  281  233  256  9.802352 0.279173 SUCCESS 109
110101010  273  255  248  240  254  251  256  266  4.006408 0.856545 SUCCESS 110
110101100  270  272  235  252  268  249  263  235  7.585366 0.474983 SUCCESS 111
110110000  243  276  250  272  281  268  267  269 13.024202 0.111020 SUCCESS 112
110110010  260  244  252  229  248  264  275  259  6.156291 0.629730 SUCCESS 113
110110100  253  264  257  253  223  223  232  248  8.471410 0.388826 SUCCESS 114
110111000  255  228  233  248  240  262  238  252  4.934343 0.764570 SUCCESS 115
110111010  255  270  226  262  252  255  273  257  7.255152 0.509371 SUCCESS 116
110111100  265  244  236  270  244  242  249  217  8.464945 0.389419 SUCCESS 117
111000000  250  250  255  223  270  244  237  254  5.686699 0.682279 SUCCESS 118
111000010  268  243  254  262  240  228  256  248  4.786820 0.780099 SUCCESS 119
111000100  243  250  252  251  254  252  247  247  0.380129 0.999953 SUCCESS 120
111000110  243  247  250  247  270  232  268  257  4.817721 0.776869 SUCCESS 121
111001000  273  235  237  271  249  241  238  262  7.174990 0.517876 SUCCESS 122
111001010  227  246  244  267  237  218  265  226 11.840396 0.158468 SUCCESS 123
111001100  241  260  253  261  253  257  249  246  1.599620 0.990927 SUCCESS 124
111010000  225  252  265  233  234  240  238  250  6.789568 0.559498 SUCCESS 125
111010010  271  209  293  263  268  258  270  254 20.466303 0.008709 FAILURE 126
111010100  215  258  227  234  250  265  250  253  9.542861 0.298587 SUCCESS 127
111010110  291  240  245  237  257  269  276  228 14.672558 0.065834 SUCCESS 128
111011000  235  262  234  252  270  269  270  273  9.602982 0.294004 SUCCESS 129
111011010  270  261  274  263  230  224  247  255  9.833511 0.276906 SUCCESS 130
111011100  236  247  239  251  257  241  240  254  2.366198 0.967679 SUCCESS 131
111100000  238  262  245  244  252  250  215  223  9.535749 0.299132 SUCCESS 132
111100010  242  259  244  240  249  262  224  260  4.970545 0.760720 SUCCESS 133
111100100  277  229  255  269  246  236  235  252  8.262214 0.408285 SUCCESS 134
111100110  250  260  264  241  251  264  253  252  2.433172 0.964774 SUCCESS 135
111101000  224  216  263  219  241  235  229  240 15.742069 0.046224 SUCCESS 136
111101010  222  241  236  243  258  270  246  248  6.590327 0.581407 SUCCESS 137
111101100  249  235  233  237  261  263  252  283  8.553640 0.381336 SUCCESS 138
111101110  239  272  215  279  230  272  231  258 16.466238 0.036173 SUCCESS 139
111110000  238  277  260  271  236  242  253  230  8.619063 0.375443 SUCCESS 140
111110010  242  230  245  255  238  236  233  267  5.917745 0.656445 SUCCESS 141
111110100  238  221  278  270  238  246  240  237 10.744768 0.216585 SUCCESS 142
111110110  256  251  247  248  265  247  238  256  1.920784 0.983345 SUCCESS 143
111111000  225  267  260  253  260  235  237  239  6.773923 0.561210 SUCCESS 144
111111010  227  214  269  253  250  256  233  241 10.753947 0.216034 SUCCESS 145
111111100  230  252  239  241  273  248  231  244  6.349584 0.608136 SUCCESS 146
111111110  245  259  239  236  259  260  243  252  2.717358 0.950825 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  229  265  271  268  249  236  232  278 11.323483 0.184035 SUCCESS   0
000000011  230  253  275  253  224  253  224  275 12.530432 0.129060 SUCCESS   1
000000101  228  262  258  240  223  250  239  247  6.823960 0.555740 SUCCESS   2
000000111  255  254  269  245  220  244  244  253  5.823362 0.667010 SUCCESS   3
000001001  256  242  246  270  249  228  242  278  7.651434 0.468238 SUCCESS   4
000001011  238  239  268  245  235  249  228  212 11.441139 0.177934 SUCCESS   5
000001101  247  241  276  256  251  240  255  269  5.337608 0.720958 SUCCESS   6
000001111  257  254  242  241  258  268  238  257  3.274610 0.915961 SUCCESS   7
000010001  251  261  248  257  270  248  268  254  3.809624 0.873878 SUCCESS   8
000010011  246  258  245  263  255  246  227  262  4.087992 0.849098 SUCCESS   9
000010101  242  236  243  217  214  242  235  241 12.660113 0.124091 SUCCESS  10
000010111  252  227  270  244  248  248  231  231  7.023071 0.534146 SUCCESS  11
000011001  251  224  229  229  265  230  245  248  9.145802 0.330146 SUCCESS  12
